song_id,artist_name,song_name
101,Anthrax,W.C.F.Y.A.
102,Bedhead,Living Well
103,Bobby Darin,Everywhere I Go
104,Canned Heat,Human Condition
105,Chefdenker,Karneval in Köln
106,Deftones,Hole In The Earth
107,Dion,This Little Girl of Mine
108,División Minúscula,Laberintos
109,Elastica,Nothing Stays the Same
110,Electric Frankenstein,Already Dead
111,Elvis Depressedly,Let's Break Up The Band
112,George Thorogood And The Destroyers,It Wasn't Me
113,Group Lluvia,Vestida De Color De Rosa
114,Hayes Carll,If I May Be So Bold
115,Jackyl,All Night Rodeo
116,Joe Brown,Bad Guys
117,Leverage,Movie Gods
118,Los Baby's,Sabotaje ft. Carlos Rivera
119,Los Bunkers,Miéntele
120,Los Muecas,Con Cartitas Y Palabras
121,Los Muecas,Triste Adios
122,Modest Mouse,This Devil's Workday
123,Nashville Pussy,Let's Get the Hell Outta Here
124,Newsboys,Jesus Freak
125,Nightstryke,Neon Killer
126,Otoboke Beaver,I checked your cellphone
127,Papa Roach,No Matter What (Acoustic)
128,Plain White T's,Let's Pretend
129,Rockin' Ryan & The Real Goners,I'm The Wolfman
130,Sam Fender,Will We Talk
131,Spacey Jane,Sawteeth
132,Stone Temple Pilots,Guilty
133,The Apples In Sterio,Energy
134,The Bevis Frond,Godsent
135,The Carburetors,Burning Rubber
136,The Doors,The Spy (2020 Remaster)
137,The Gaslight Anthem,"Casanova, Baby!"
138,The Groundhogs,Mannish Boy
139,The Hangmen,Is That All There Is
140,The King Khan & BBQ Show,Buy Bye Bhai
141,The Mamas & The Papas,Go Where You Wanna Go
142,The Offspring,Secrets From The Underground
143,The Raveonettes,Come On Santa
144,The Tremeloes,You Don't Have To Say You Love Me
145,Tronic,Somos Iguales
146,Turbonegro,Gimme Five
147,Van Halen,The Full Bug (2015 Remaster)
148,Velvet Revolver,Let It Roll
149,Wanda Jackson,Rockabilly Fever
150,Weezer,Glorious Day
